,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
0,2,5,15,0,112,3,1,5,1,1080,1,1,4,1656,1,4,7,2,2,0,0,2,1,210,62,9,4,50,215000,526301100
1,2,4,15,1,0,3,1,5,3,882,4,1,4,896,1,4,5,0,3,0,3,1,2,140,0,9,4,49,105000,526350040
2,2,5,15,0,108,3,1,5,3,1329,4,1,4,1329,1,2,6,0,3,0,3,1,2,393,36,9,4,52,172000,526351010
3,2,5,15,5,0,2,1,5,3,2110,0,1,4,2110,2,0,8,2,5,0,0,2,2,0,0,9,4,42,244000,526353030
4,13,5,8,1,0,3,2,2,3,928,2,1,4,1629,2,4,6,1,5,0,0,2,2,212,34,9,4,13,189900,527105010
5,13,5,8,0,20,3,2,5,3,926,0,1,4,1604,2,2,7,1,2,0,0,2,2,360,36,9,4,12,195500,527105030
7,3,5,25,8,0,2,2,2,3,1280,0,1,4,1280,2,2,5,0,3,0,2,2,2,0,82,9,4,18,191500,527145080
10,13,5,8,0,0,3,2,2,3,763,2,1,4,1655,2,4,7,1,5,0,0,2,2,157,84,9,4,17,175900,527163010
12,13,5,8,0,0,3,2,2,3,789,2,1,4,1465,2,4,7,1,2,0,0,2,2,0,75,9,4,12,180400,527166040
13,2,5,8,5,0,3,2,2,1,1300,2,1,4,1341,1,2,5,1,4,0,3,2,2,192,0,9,4,20,171500,527180040
16,5,5,8,8,0,2,5,2,0,559,2,1,4,1752,2,4,8,0,3,1,2,2,2,325,12,9,4,22,164000,527225035
17,2,5,25,3,350,2,2,0,0,1856,0,1,4,1856,1,0,8,1,0,0,0,3,2,113,0,6,5,0,334000,527258010
18,2,5,8,2,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,2,2,0,0,9,4,59,141000,527276150
19,2,5,19,0,119,3,1,2,3,1542,4,1,4,2073,2,4,7,2,5,0,3,2,2,349,0,9,4,32,210000,527302110
20,2,5,19,0,480,3,1,2,3,1844,0,1,4,1844,2,4,7,1,5,0,2,2,2,0,122,0,4,33,190000,527358140
21,9,5,19,5,81,3,1,2,1,1053,4,1,4,1173,2,2,6,2,5,0,2,2,2,0,120,9,3,36,170000,527358200
22,13,2,23,5,0,2,2,2,3,814,0,1,4,1674,2,2,7,0,3,0,2,2,2,0,96,9,4,10,216000,527368020
24,2,5,15,1,0,3,1,5,3,1078,0,1,4,1078,1,4,6,1,1,0,0,2,2,0,0,9,4,39,149900,527402250
26,2,5,15,2,0,3,1,5,3,882,4,1,4,882,1,4,4,0,3,0,0,2,2,240,0,9,4,40,126000,527404120
