Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-07-01,15363.5,FALSE
1,1,2011-07-08,16148.87,FALSE
1,1,2011-07-15,15654.85,FALSE
1,1,2011-07-22,15766.6,FALSE
1,1,2011-07-29,15922.41,FALSE
1,1,2011-08-05,15295.55,FALSE
1,1,2011-08-12,14539.79,FALSE
1,1,2011-08-19,14689.24,FALSE
1,1,2011-08-26,14537.37,FALSE
1,2,2011-07-01,45247.74,FALSE
1,2,2011-07-08,44623.23,FALSE
1,2,2011-07-15,43260.96,FALSE
1,2,2011-07-22,45113.56,FALSE
1,2,2011-07-29,43191.02,FALSE
1,2,2011-08-05,49359.75,FALSE
1,2,2011-08-12,45341.92,FALSE
1,2,2011-08-19,46391.12,FALSE
1,2,2011-08-26,47659.93,FALSE
1,3,2011-07-01,8070.64,FALSE
1,3,2011-07-08,7366.5,FALSE
1,3,2011-07-15,11578.11,FALSE
1,3,2011-07-22,16069.5,FALSE
1,3,2011-07-29,21331.51,FALSE
1,3,2011-08-05,31248.98,FALSE
1,3,2011-08-12,32148.93,FALSE
1,3,2011-08-19,41603.11,FALSE
1,3,2011-08-26,49775.52,FALSE
1,4,2011-07-01,36451.71,FALSE
1,4,2011-07-08,39149.99,FALSE
1,4,2011-07-15,33930.8,FALSE
1,4,2011-07-22,34630.02,FALSE
1,4,2011-07-29,35555.5,FALSE
1,4,2011-08-05,39339.09,FALSE
1,4,2011-08-12,37449.94,FALSE
1,4,2011-08-19,39148.87,FALSE
1,4,2011-08-26,37495.2,FALSE
1,5,2011-07-01,19239.86,FALSE
1,5,2011-07-08,17989.45,FALSE
1,5,2011-07-15,18444.8,FALSE
1,5,2011-07-22,19331.53,FALSE
1,5,2011-07-29,17406.68,FALSE
1,5,2011-08-05,21183.42,FALSE
1,5,2011-08-12,21320.93,FALSE
1,5,2011-08-19,18643.51,FALSE
1,5,2011-08-26,15478.26,FALSE
1,6,2011-07-01,4047.92,FALSE
1,6,2011-07-08,3412.08,FALSE
1,6,2011-07-15,3154.33,FALSE
1,6,2011-07-22,3665.52,FALSE
1,6,2011-07-29,2839.92,FALSE
1,6,2011-08-05,2864.27,FALSE
1,6,2011-08-12,3124.83,FALSE
1,6,2011-08-19,3717.28,FALSE
1,6,2011-08-26,3296.22,FALSE
1,7,2011-07-01,23747.1,FALSE
1,7,2011-07-08,20691.6,FALSE
1,7,2011-07-15,14805.42,FALSE
1,7,2011-07-22,16002.3,FALSE
1,7,2011-07-29,16061.11,FALSE
1,7,2011-08-05,17388.43,FALSE
1,7,2011-08-12,14088.28,FALSE
1,7,2011-08-19,13413.8,FALSE
1,7,2011-08-26,12116.03,FALSE
1,8,2011-07-01,34063.23,FALSE
1,8,2011-07-08,35582.39,FALSE
1,8,2011-07-15,33336.29,FALSE
1,8,2011-07-22,34006.29,FALSE
1,8,2011-07-29,31981.72,FALSE
1,8,2011-08-05,35484.32,FALSE
1,8,2011-08-12,31061.21,FALSE
1,8,2011-08-19,32707.8,FALSE
1,8,2011-08-26,32668.5,FALSE
1,9,2011-07-01,23809.04,FALSE
1,9,2011-07-08,24644.78,FALSE
1,9,2011-07-15,17344.99,FALSE
1,9,2011-07-22,16973.16,FALSE
1,9,2011-07-29,18244.55,FALSE
1,9,2011-08-05,21425.32,FALSE
1,9,2011-08-12,18708.23,FALSE
1,9,2011-08-19,18244.5,FALSE
1,9,2011-08-26,21140.44,FALSE
1,10,2011-07-01,29583.91,FALSE
1,10,2011-07-08,31714.81,FALSE
1,10,2011-07-15,28299.95,FALSE
1,10,2011-07-22,29459.23,FALSE
1,10,2011-07-29,30521.96,FALSE
1,10,2011-08-05,32548.48,FALSE
1,10,2011-08-12,31383.62,FALSE
1,10,2011-08-19,28909.06,FALSE
1,10,2011-08-26,30630.65,FALSE
1,11,2011-07-01,33808.27,FALSE
1,11,2011-07-08,31642.79,FALSE
1,11,2011-07-15,37603.73,FALSE
1,11,2011-07-22,33734.44,FALSE
1,11,2011-07-29,31884.24,FALSE
1,11,2011-08-05,33020.31,FALSE
1,11,2011-08-12,23696.66,FALSE
1,11,2011-08-19,18661.68,FALSE
1,11,2011-08-26,19767.53,FALSE
1,12,2011-07-01,11414.72,FALSE
1,12,2011-07-08,12384.1,FALSE
1,12,2011-07-15,10046,FALSE
1,12,2011-07-22,11455.24,FALSE
1,12,2011-07-29,11641.86,FALSE
1,12,2011-08-05,10145.97,FALSE
1,12,2011-08-12,11581.03,FALSE
1,12,2011-08-19,10094.04,FALSE
1,12,2011-08-26,8594.52,FALSE
1,13,2011-07-01,37414.14,FALSE
1,13,2011-07-08,38193.09,FALSE
1,13,2011-07-15,36966.32,FALSE
1,13,2011-07-22,37990.15,FALSE
1,13,2011-07-29,34910.1,FALSE
1,13,2011-08-05,42542.66,FALSE
1,13,2011-08-12,37593.97,FALSE
1,13,2011-08-19,38533.7,FALSE
1,13,2011-08-26,38727.3,FALSE
1,14,2011-07-01,13459.55,FALSE
1,14,2011-07-08,11578.97,FALSE
1,14,2011-07-15,11404.37,FALSE
1,14,2011-07-22,11681.04,FALSE
1,14,2011-07-29,9918.05,FALSE
1,14,2011-08-05,13330.04,FALSE
1,14,2011-08-12,12652.58,FALSE
1,14,2011-08-19,11724.24,FALSE
1,14,2011-08-26,14364.42,FALSE
1,16,2011-07-01,33435.46,FALSE
1,16,2011-07-08,32379.77,FALSE
1,16,2011-07-15,25134.4,FALSE
1,16,2011-07-22,20795.03,FALSE
