,PID,Sale_Price
0,527127150,198813.27
1,527146030,237853.14
2,527162130,190850.8
3,527165230,171365.55
4,527182190,227089.14
5,527216070,324387.16
6,527402200,153206.9
7,527403020,143757.06
8,527425090,105124.89
9,527451410,97057.09
10,528108120,323581.8
11,528112020,310080.3
12,528120100,237825.75
13,528138020,288910.7
14,528150070,338440.2
15,528176010,334400.28
16,528176070,312293.7
17,528181050,214303.17
18,528188120,161688.53
19,528218150,186075.78
20,528228440,182479.5
21,528240070,218509.12
22,528344070,303646.66
23,528358010,277655.47
24,528363130,306207.38
25,528445060,228482.58
26,532377060,117571.92
27,533130020,214224.44
28,533205060,260136.5
29,533212010,148184.12
30,533212060,157448.48
31,533213030,258895.98
32,533223020,165822.86
33,533253210,199885.1
34,534151175,245966.83
35,534152050,209782.52
36,534152070,202398.52
37,534176060,166817.47
38,534431050,196860.22
39,535101020,162581.95
40,535125010,246095.22
41,535126040,218776.1
42,535152050,231463.23
43,535152150,162986.81
44,535175070,145059.97
45,535175180,135651.77
46,535302080,126951.26
47,535302200,125081.734
48,535401080,165375.0
49,535425010,234704.23
50,535453070,154958.45
51,535454070,135322.1
52,902106130,101960.016
53,902206040,123985.91
54,902206240,121166.83
55,902329030,213303.17
56,902402250,124998.71
57,903225150,96780.53
58,903227150,137349.77
59,903425110,142053.12
60,904350045,99215.5
61,905101100,92569.07
62,905104210,121022.74
63,905426060,97937.57
64,905426200,142395.27
65,905452110,133674.86
66,905452160,147221.12
67,905453040,174779.81
68,905453080,252116.42
69,905475510,123528.7
70,906201120,218305.31
71,906223090,233953.95
72,906385010,192939.61
73,906385020,186833.78
74,906402200,293522.47
75,906425045,143549.6
76,907185060,186506.86
77,907203070,124921.805
78,907250030,292999.06
79,907290040,203680.44
80,907290170,140817.31
81,907290240,143055.53
82,907414030,188500.58
83,909100110,123042.125
84,909101070,79007.766
85,909176150,117465.25
86,909250060,201295.31
87,909426080,182130.75
88,909455030,193121.17
89,910203250,91697.664
90,911128180,98270.914
91,911204100,89885.62
92,911370510,291499.6
93,914475090,175712.64
94,914478045,149311.34
95,923201020,140608.97
96,923205015,165666.94
97,923225390,122436.48
98,923225440,95960.62
99,923226250,92777.66
100,923228270,85883.2
101,923228370,89026.664
102,923230190,125437.82
103,923426070,131712.97
104,924152030,200635.55
105,526302110,117712.34
106,526355080,320270.62
107,527110020,164950.4
108,527127100,313484.72
109,527131030,266477.12
110,527162120,187978.03
111,527163070,182968.33
112,527164020,151908.62
113,527326040,168920.83
114,527352150,183371.61
115,527353060,254731.73
116,527354100,214750.78
117,527355150,288030.72
118,527359050,149841.27
119,527359180,188930.98
120,527365030,264573.0
121,527402220,131377.97
122,527405130,120092.734
123,527425060,117853.84
124,527425110,124090.21
125,527450280,98795.63
126,527451110,125526.44
127,527451320,98229.31
128,527451640,109389.164
129,527453060,143601.42
130,527455080,144105.69
131,528102140,348013.5
132,528108010,256464.45
133,528110010,328556.38
134,528120030,334516.22
135,528120160,305125.3
136,528142040,312369.62
137,528142150,269297.5
138,528166090,333354.22
139,528174070,197864.47
140,528186180,227743.3
141,528188020,176806.94
142,528221060,175099.8
143,528221070,183911.61
144,528228290,192646.72
145,528235200,174293.81
146,528240150,193153.73
147,528250020,191244.17
148,528250040,185398.92
149,528253010,214220.45
150,528275160,264170.7
151,528280230,227253.11
152,528290030,176826.66
153,528290180,185941.84
154,528292040,179102.3
155,528292070,234284.81
156,528354050,293947.6
157,528387030,276802.47
158,528431070,253971.92
159,528435030,250161.47
160,528435050,295708.8
161,528458020,215760.36
162,528458060,210644.34
163,528458140,246986.58
164,528490040,239282.75
165,531363050,137878.36
